int_id,date,Number_of_Hard_Brakes,Total_CO2,Number_of_Stops,Number_of_Vehicles,Average_Number_of_Hard_Brakes,Average_CO2,Average_Number_of_Stops,Total_length,Latitude,Longitude
192,2021-01-11,3,843420.6863,18,3893,0.000916056,257.540193,0.005496336,0.841230147,29.40460814,-98.55463043
193,2021-01-11,22,655972.5787,26,4857,0.004801753,143.1735573,0.005674799,0.943310712,29.52054107,-98.50808781
195,2021-01-11,51,1036867.899,214,4005,0.013660064,277.7192567,0.057318701,0.932212484,29.39672246,-98.5237687
196,2021-01-11,4,789551.754,15,3301,0.001351105,266.6917423,0.005066642,0.896861765,29.54518522,-98.31337505
197,2021-01-11,5,962538.5927,9,3434,0.00180888,348.2233423,0.003255984,0.80493346,29.55054868,-98.32054934
198,2021-01-11,126,568565.3043,373,2088,0.07415924,334.6378654,0.219534894,0.813719603,29.53003973,-98.29930677
199,2021-01-11,23,500156.4125,496,1913,0.014546393,316.3248552,0.313696124,0.826527967,29.52930401,-98.29840025
200,2021-01-11,16,484504.5903,139,2328,0.0096248,291.4537334,0.083615449,0.714077415,29.60242216,-98.38096053
201,2021-01-11,17,437438.8391,191,2357,0.009366292,241.010577,0.105233043,0.770054841,29.60254939,-98.37437846
202,2021-01-11,17,537472.6959,199,2519,0.008048397,254.4584504,0.094213589,0.838516014,29.60239087,-98.36080744
203,2021-01-11,13,603051.7521,288,2490,0.005324124,246.9786481,0.117949828,0.980608893,29.59837838,-98.35662237
204,2021-01-11,24,761358.2896,493,2875,0.009122987,289.4108989,0.187401352,0.915032142,29.58313851,-98.34609754
205,2021-01-11,42,853137.9577,363,3098,0.014048599,285.3664916,0.12142003,0.965016804,29.5777831,-98.34238023
206,2021-01-11,37,818679.1483,291,3068,0.014031929,310.4769624,0.110359225,0.859466578,29.57586839,-98.34045216
208,2021-01-11,1,851667.3034,34,4596,0.000258394,220.0656449,0.008785393,0.842049662,29.5174526,-98.46656035
209,2021-01-11,14,867033.0285,75,4810,0.003211718,198.9047089,0.017205634,0.906244743,29.51808981,-98.46823137
210,2021-01-11,19,857995.5638,23,4791,0.004496227,203.0391057,0.005442801,0.882021516,29.51641234,-98.45895964
212,2021-01-11,31,70939.18833,10,1406,0.0229731,52.57074455,0.007410677,0.959747007,29.51592554,-98.41234044
213,2021-01-11,1,586930.8133,6,3886,0.000329754,193.5425374,0.001978521,0.78038279,29.51582373,-98.43737428
215,2021-01-11,1,198287.3193,1,2334,0.000541651,107.4025316,0.000541651,0.791005624,29.5161321,-98.41790195
216,2021-01-11,16,288900.5994,16,1708,0.010083622,182.072777,0.010083622,0.928999671,29.42703922,-98.3893549
217,2021-01-11,18,184267.8198,98,1325,0.027368776,280.1769267,0.14900778,0.496365116,29.42702688,-98.38913527
218,2021-01-11,3,36937.3559,0,978,0.00488338,60.12638405,0.0,0.628147828,29.32015545,-98.55769212
219,2021-01-11,10,524844.9895,161,2804,0.00408673,214.4899809,0.065796354,0.872661941,29.58883911,-98.6172787
221,2021-01-11,2,467797.479,12,2351,0.000907857,212.3466064,0.005447142,0.937043869,29.60265355,-98.37988597
222,2021-01-11,3,576444.8671,3,3027,0.001078874,207.3038487,0.001078874,0.918624429,29.34768881,-98.42510585
224,2021-01-11,65,988431.3281,279,4088,0.018413302,280.0043841,0.07903556,0.863516784,29.50496107,-98.47951107
225,2021-01-11,2,1094496.38,74,4193,0.000621092,339.8913512,0.022980396,0.767979015,29.49748986,-98.48381199
226,2021-01-11,1,331538.7554,13,1651,0.000638674,211.7453167,0.008302767,0.948360411,29.53683488,-98.41572994
227,2021-01-11,10,309906.4465,21,1154,0.009164707,284.020169,0.019245884,0.945530669,29.53572582,-98.40623315
228,2021-01-11,7,280416.5948,15,1222,0.005840737,233.9770656,0.012515864,0.980752029,29.53560787,-98.4064086
